Now Timestamp,API Timestamp,AQI,PM10
2024-05-27T22:45:00.390050,2024-05-28T04:00:00+07:00,103,103
2024-05-27T22:50:01.237174,2024-05-28T04:00:00+07:00,103,103
2024-05-27T22:55:00.798457,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:00:00.430037,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:05:01.004348,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:10:00.645731,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:15:01.178302,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:20:00.793764,2024-05-28T04:00:00+07:00,103,103
2024-05-27T23:25:01.373021,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:30:01.021036,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:35:00.557307,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:40:01.139483,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:45:00.693992,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:50:01.531319,2024-05-28T05:00:00+07:00,79,79
2024-05-27T23:55:01.086623,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:00:00.694363,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:05:01.400288,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:10:00.989712,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:15:00.585956,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:20:01.223100,2024-05-28T05:00:00+07:00,79,79
2024-05-28T00:25:00.787199,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:30:01.374896,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:35:01.018470,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:40:00.617011,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:45:01.500646,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:50:01.089401,2024-05-28T06:00:00+07:00,86,86
2024-05-28T00:55:00.704716,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:00:01.282331,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:05:00.931649,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:10:00.539346,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:15:01.400638,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:20:00.956138,2024-05-28T06:00:00+07:00,86,86
2024-05-28T01:25:00.594463,2024-05-28T07:00:00+07:00,93,93
2024-05-28T01:30:01.136116,2024-05-28T07:00:00+07:00,93,93
